Date : 2024-10-24 16:36:41
Directory : /Users/yangwenlong/Desktop/gitee/cxy-web-tool
Total : 107 files,  24851 codes, 633 comments, 1960 blanks, all 27444 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         13 |      9,116 |        110 |         61 |      9,287 |
| YAML       |          1 |      8,956 |          0 |      1,121 |     10,077 |
| Vue        |         41 |      3,133 |        366 |        352 |      3,851 |
| TypeScript |         17 |      1,620 |        118 |         58 |      1,796 |
| SCSS       |         30 |      1,494 |         30 |        221 |      1,745 |
| CSS        |          3 |        491 |          1 |        142 |        634 |
| HTML       |          1 |         34 |          8 |          2 |         44 |
| Ignore     |          1 |          7 |          0 |          3 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        107 |     24,851 |        633 |      1,960 |     27,444 |
| . (Files)                                                                                       |          8 |      9,232 |         72 |      1,136 |     10,440 |
| scripts                                                                                         |          1 |          7 |          0 |          1 |          8 |
| src                                                                                             |         98 |     15,612 |        561 |        823 |     16,996 |
| src (Files)                                                                                     |          4 |         58 |         18 |         13 |         89 |
| src/api                                                                                         |          1 |         12 |         12 |          2 |         26 |
| src/assets                                                                                      |          2 |        403 |          0 |        133 |        536 |
| src/assets/styles                                                                               |          2 |        403 |          0 |        133 |        536 |
| src/components                                                                                  |         24 |      3,196 |        166 |        262 |      3,624 |
| src/components/card                                                                             |          2 |        108 |         13 |         17 |        138 |
| src/components/contextMenu                                                                      |          2 |          9 |          8 |          4 |         21 |
| src/components/keyword                                                                          |          9 |      2,327 |         75 |        137 |      2,539 |
| src/components/keyword (Files)                                                                  |          2 |        404 |         40 |         50 |        494 |
| src/components/keyword/components                                                               |          7 |      1,923 |         35 |         87 |      2,045 |
